Year,County,Cases,Population,Percent,EP_AGE17,EP_AGE65,EP_CROWD,EP_DISABL,EP_GROUPQ,EP_LIMENG,EP_MINRTY,EP_MOBILE,EP_MUNIT,EP_NOHSDP,EP_NOVEH,EP_PCI,EP_POV,EP_SNGPNT,EP_UNEMP,EP_UNINSUR
2014,COLUMBIA,123.0000000000,61942.0000000000,0.0019857286,19.3000000000,19.4000000000,1.3000000000,15.4000000000,4.1000000000,0.6000000000,12.3000000000,7.2000000000,2.7000000000,12.1000000000,7.3000000000,32665.0000000000,10.4000000000,9.1000000000,7.9000000000,8.1000000000
2014,CORTLAND,79.0000000000,48740.0000000000,0.0016208453,20.3000000000,14.1000000000,1.3000000000,12.3000000000,7.3000000000,0.5000000000,7.1000000000,9.1000000000,6.1000000000,9.9000000000,9.9000000000,23581.0000000000,13.5000000000,9.7000000000,7.0000000000,7.7000000000
2014,DELAWARE,65.0000000000,46562.0000000000,0.0013959881,18.8000000000,20.6000000000,3.2000000000,15.3000000000,5.1000000000,0.5000000000,7.2000000000,12.0000000000,1.8000000000,12.5000000000,9.4000000000,23911.0000000000,13.5000000000,7.8000000000,10.1000000000,9.7000000000
2014,DUTCHESS,380.0000000000,295127.0000000000,0.0012875813,21.1000000000,14.5000000000,2.0000000000,12.8000000000,6.2000000000,2.1000000000,26.5000000000,3.5000000000,8.3000000000,10.4000000000,8.6000000000,33962.0000000000,8.8000000000,7.1000000000,9.3000000000,8.5000000000
2014,ERIE,863.0000000000,921755.0000000000,0.0009362575,21.1000000000,16.1000000000,0.9000000000,13.0000000000,3.1000000000,1.6000000000,23.0000000000,1.4000000000,7.6000000000,9.8000000000,13.7000000000,28512.0000000000,14.7000000000,10.0000000000,7.9000000000,6.4000000000
2014,ESSEX,43.0000000000,38323.0000000000,0.0011220416,18.0000000000,19.6000000000,2.1000000000,15.8000000000,7.5000000000,1.7000000000,7.5000000000,7.4000000000,3.2000000000,12.0000000000,8.5000000000,26755.0000000000,11.4000000000,7.2000000000,8.6000000000,9.3000000000
2014,FRANKLIN,106.0000000000,51096.0000000000,0.0020745264,20.0000000000,14.1000000000,1.5000000000,13.9000000000,12.2000000000,0.8000000000,18.0000000000,11.6000000000,3.8000000000,15.2000000000,10.7000000000,22322.0000000000,19.7000000000,10.4000000000,8.8000000000,11.3000000000
2014,FULTON,69.0000000000,53932.0000000000,0.0012793889,21.3000000000,16.9000000000,1.2000000000,16.3000000000,2.6000000000,0.6000000000,6.5000000000,9.7000000000,3.1000000000,14.2000000000,9.1000000000,24265.0000000000,16.2000000000,11.5000000000,10.0000000000,10.4000000000
2014,GENESEE,92.0000000000,58725.0000000000,0.0015666241,21.2000000000,16.4000000000,0.9000000000,13.0000000000,1.6000000000,0.6000000000,8.9000000000,6.7000000000,4.2000000000,9.2000000000,6.5000000000,25721.0000000000,12.6000000000,8.0000000000,7.6000000000,8.9000000000
2014,GREENE,83.0000000000,47964.0000000000,0.0017304645,18.1000000000,18.8000000000,1.4000000000,14.9000000000,7.2000000000,0.5000000000,13.5000000000,9.3000000000,2.4000000000,13.1000000000,7.1000000000,25770.0000000000,13.9000000000,6.5000000000,10.0000000000,8.8000000000
2014,HAMILTON,3.0000000000,4700.0000000000,0.0006382979,17.0000000000,24.7000000000,0.6000000000,14.1000000000,2.3000000000,0.4000000000,3.9000000000,9.8000000000,0.5000000000,10.1000000000,4.8000000000,29974.0000000000,9.5000000000,5.7000000000,7.4000000000,9.4000000000
